date,videoId,authorId,username,videoLink,contentDescription,hashtags,musicAuthorName,musicTitle,musicId,captions,code_1,fieldNote_1,code_2,fieldNote_2,code_3,fieldNote_3,code_4,fieldNote_4,code_5,fieldNote_5,category,need,fieldnote_need
2023-12-05,7309151515015515435,6724641833585181701,cnbcmakeit,https://www.tiktok.com/@6724641833585181701/video/7309151515015515435,"CNN broadcast about middle class Americans relocating to Mexico City focus on the growing trend of individuals seeking an improved lifestyle in terms of cost of living, culture, and climate. The broadcast explores the reasons behind this migration, including the search for a more affordable lifestyle, rich cultural experiences, and a desire for a different pace of life. Interviews with American expatriates could provide personal insights into the adjustments, benefits, and challenges of settling in Mexico City, as well as the impact of this trend on local communities and economies.",#soulfood #restaurant #CNBCMakeIt #digitalnomad,CNBC Make It,original sound,7197505126058330114,[This woman opened a soul food restaurant in Mexico city],JN-EP,"The episodic progression (JN-EP) reveals how unexpected professional disruption can trigger extraordinary personal growth (JN-PG), transforming economic precarity into an opportunity for entrepreneurial creativity.",DR-CA,Authentic representation of cultural adaptation (DR-CA). The soul food restaurant becomes more than a business—it's a visual narrative of cultural translation and personal resilience.,CA-PC,"The entrepreneurial journey becomes a form of promotional content (CA-PC), showcasing alternative lifestyle and career models and transforms a personal story into a broader discourse on digital nomadism. ",TA-RL,"Relatability, the narrative demonstrates how precarity is not merely a condition of vulnerability, but a dynamic process of adaptive transformation where individuals reconstruct their economic and personal landscapes through creative survival strategies.",,,Migrant,Basic,The woman's decision to open a soul food restaurant in Mexico City addresses the basic need for income and housing after losing her remote job. This represents a fundamental aspect of survival in a new country.
2023-06-28,7249702090765765931,7135488766324130859,rohrsteam,https://www.tiktok.com/@7135488766324130859/video/7249702090765765931,"An American vloger contends that contemporary homes in West Africa are constructed to a higher standard compared to those in America, attributing this difference to the use of ""cheaper"" materials and the excessive costs associated with building permits in the latter. Consequently, he advocates for property investment in West Africa as a more valuable and economically wise decision, suggesting that the region offers superior construction quality and efficiency in the use of resources.",#rohrsteam #ghana #nigeria #westafrica #africa #expat #digitalnomad  #accra,The Rohrs Team,original sound,7320692487760677637,['Are West African Houses Built Better than America?'],JN-EP,"Episodic progress reflects into the aspiration to build a proper home in Africa, because of the percieved high cost of materials on the home country of the creator. ",DR-VS,"By juctopposing the contruction practices in US to Nigeriga, creator conveys an applealing story functioning in the format of POV.",TA-RL,The content aims to be relatable for all those who struggles to afford a house in US. May oversimplify complex experiences for mass appeal.,,,,,Migrant,Basic,"The content reflects the basic needs of housing for Migrant, with a lables such as #expat it is tailored for more permanent aspirations of move."
2023-08-08,7265018682802310443,6756991467787682822,laurabyrnesintheworld,https://www.tiktok.com/@6756991467787682822/video/7265018682802310443,"The video discusses the 1 euro home initiative in Sicily, where individuals have the opportunity to purchase houses for merely 1 euro, provided they deposit a 4,000 euro bond. This program announced in 2021, was aimed to rejuvenate aging and depopulated towns of Sicily by attracting new residents willing to invest in renovations and maintenance, offering a chance to own property in picturesque Sicilian locales at minimal cost. The creator uses green screen to project herself and the pint screens of regulations, while narrating the story behind the investment opportunity.",#1eurohouse #1eurohouseitaly #castiglionedisicilia #sicily #italy #digitalnomad,Laura Byrnes Design,original sound,7266097837941836550,['case1euro@comune.castiglionedisicilia.ct.it'],LC-PF,Opportunity to own property and create a new lifestyle aligned with the needs of migrant,ET-IC,Reimagining oneself through international property ownership,CA-TC,Promotion of the South European destination,SY-SL,Picturesque Sicilian locales as a backdrop for personal transformation,DR-PSC,"Usage of pltaform affordance such as green screen and ""Replying To function"" to angage with a popular content creator Jesus (Heyzeus) Anaya 🇲🇽 with 150K followers caters for enhanced content visibility.",Migrant,Basic,The content is focusing on housing and community integration through the 1 euro house initiative.
2023-12-05,7309164294237654315,6807864045137757189,vianaturley,https://www.tiktok.com/@6807864045137757189/video/7309164294237654315,"A female vloggs her morning routines with small children in Thailand were she is living with her family. She is talking about the cost of raising children, the cost of accomodation and food for the whole family.",#morningvlog #thailandvlog #thailandliving #livingabroad #thailandtiktok #digitalnomad #expatlife #realisticmorningroutine #thailand,Natalie 🇹🇭🇺🇸,original sound,7244409915454802730,"['spend the morning with me living abroad 🇹🇭'], ['morning living abroad 🇹🇭 ']",ET-IC,Redefining herself as an expatriate mother,HE-SE,Connecting with other digital nomad parents,DR-VS,Digital storytelling  revealing self-development inherent in navigating expatriate life and motherhood in Thailand.,LC-PF,Demonstrating autonomy through international living,,,Migrant,Social,"The content aligns with Migrant category, integrating family into a new environment and projecting local living conditions"
2023-12-04,7308529274514902274,6637666681156714501,andjustlikepat,https://www.tiktok.com/@6637666681156714501/video/7308529274514902274,"The video authored by a lifestyle coach showcases a concert, sky scrapers, sport cars, neon shows, sandy beaches, positing 2024 as an opportune moment for relocation abroad, accompanied by an invitation for direct messaging for further information.",#movingabroad #digitalnomad #livingabroad #iwantout #lifeabroad #studyabroad,VØJ & Narvent,Memory Reboot,7133477048550426625,"['This is your sign to move abroad 2024', 'Make 2024 the year of change. ', 'DM to find out more ']",CA-PC,Promotional Content: The lifestyle coach's invitation for direct messaging suggests a promotional aspect to the content. The video aimed at potentially selling services or advice related to moving abroad and blurs lines between genuine content and advertising.,JN-EP,The video's emphasis on 2024 as an opportune moment for relocation abroad aligns strongly with the concept of Episodic Progress. The content drives the narrative of a significant life change,ET-PM,"The captions ""This is your sign to move abroad 2024"" and ""Make 2024 the year of change"" indicate a focus on finding purpose and meaning through relocation.",TA-DI,The creator leverages platform-specific features such as trendy sound used in 333.7K  other video and hashtags to reach a wider audience interested in the digital nomad lifestyle.,DR-IE,"The video's portrayal of concerts, skyscrapers, sports cars, neon shows, and sandy beaches presents an idealized version of life abroad. This representation aligns with the DR-IE code, as it showcases a curated, glamorized view of the digital nomad or expat lifestyle, potentially influencing viewers' perceptions and aspirations",Pilgrim,Basic,"Addressing the basic need of Pilgrim, embarking on the road encouraging viewers to make a significant life change by going travelling. However, it uses tourist-like attractions to entice viewers into considering a significant move."
2023-06-22,7247487166845078811,6738302261645231109,shainahpage,https://www.tiktok.com/@6738302261645231109/video/7247487166845078811,"A girl is eating some food and thinking about a common sentiment that while we have the freedom to pursue various paths in life, the necessity to make choices means we can't have or do everything we desire. This limitation can indeed be frustrating, reflecting the reality of having to prioritize. She is anxious that life is going by, because of all possibile options and desires.",#traveltiktok #solotravel #travellife #digitalnomad,Florence + The Machine,Dog Days Are Over,7155234071328017158,,LC-PF,Personal & Spatial Freedom juctopposed with the necessity of choice. Might ignore privileges that enable this lifestyle.,HE-CE,"Focuses on food and culinary experiences, while discussing an important topics. Risk of superficial engagement with local cultures through food.",TA-DI,"General hashtags such as #traveltok signalise to broader aim of the content, reach out to travel loggers and consumers of travel content ",ET-PM,Purpose and meaning of life: reflects tha anxiocity of young generation who are exposed to multiple chioces and need to learn to make priorities.,TA-DI,"Tiktok audio primacy is expressed to the creator's curation of song ""Dog days are out"", conveying the meaning of re-inventing herself",Pilgrim,Basic,"Mostly caters for Pilgrim basic needs, as the content discuss finding of purpose in travel"
2023-12-06,7309514937884216608,6851323926238004229,pete_morgan,https://www.tiktok.com/@6851323926238004229/video/7309514937884216608,"A male vlogger discusses Brazil and specifically Rio de Janeiro, focusing on the lifestyle characterized by a lesser emphasis on work and a greater engagement with events, coupled with the availability of quality food and affordable accommodation. ",#gringoinbrazil #digitalnomad #riodejaneiro,Declan McKenna,Brazil,7063179878732221189,"['Biggest observations I’ve made as a Brit 🇬🇧 living in Rio de Janeiro 🇧🇷', 'So far…', '1. Climate ', 'Obvious one I know', 'Sig. hotter all year round', 'Anything lower than 15 degrees is regarded as ‘cold’ 😳', 'Seasons are inverted so we’re about to enter summer', 'Seasons are inverted so we’re about to enter summer', 'Which makes seeing Xmas decorations very strange 🥴', 'Which makes seeing Xmas decorations very strange 🥴', '2. Events', 'I lived in Cardiff and Manchester before moving here ', 'But the amount of things to do and see here is on another level', 'Any day\nAny time\nAny budget \nAny interest ', 'The best bit is you don’t get FOMO for missing an event because there’ll be something even bigger one tomorrow ', '3. Work/life balance ', 'So much more of a relaxed culture', '* I can only talk for Rio and am not generalising about a whole population ', 'I’ve been here 7 weeks and there’s already been 4 bank holidays ', 'The best way I’ve heard it described is \n\n“People in Europe and US live to work and people here work to live” ', '4. Natural Scenery', 'Absolutely unbelievable.', 'Quite easily some of the best views and settings I’ve ever seen', 'It manages to have…\n\nMountains', 'World famous beaches', 'Rainforests! ', 'And incredible viewpoints', 'Within 30 minutes of a giant metropolis! ']",HE-SE,"Culinary Experiences that focuses on local food, superficial engagement with local cultures. The vlogger emphasizes the abundance of events and social opportunities in Rio, noting the constant availability of activities ""Any day, Any time, Any budget, Any interest"". This highlights the social and experiential richness of his new environment.",ET-PM,"The vlogger highlights a fundamental philosophical difference in lifestyle, encapsulated by the quote ""People in Europe and US live to work and people here work to live"". This reflects a profound exploration of life's purpose and approach to work, emphasizing the Brazilian approach to living.",JN-EP,"The narrative demonstrates a clear progression of understanding and adapting to a new cultural environment, systematically breaking down his observations about Rio de Janeiro. The structured presentation of his experiences - from climate to events to work-life balance - represents a classic episodic journey of a digital nomad",LC-PF,"The observations about the relaxed culture, multiple bank holidays, and the ability to engage with diverse experiences underscore a sense of personal and spatial liberation that goes beyond traditional work constraints.",SY-SL,"The vlogger's description of Rio's natural scenery - encompassing mountains, world-famous beaches, rainforests, and incredible viewpoints within 30 minutes of a metropolis - represents a powerful symbolic representation of the landscape's diversity by eyes of digital nomad, leaving undisclosed the negative sides of Rio such as e.g. favelas.",Tourist,Basic,"The content primarily discusses the foundational aspects of living in Rio as a foreigner, focusing on the environmental and lifestyle conditions that make basic living enjoyable and sustainable. While there are elements of self-actualization (particularly in the work-life balance discussion and the cultural observations), the core message revolves around the basic comforts and amenities that Rio offers to visitors and digital nomads."
2023-07-06,7252790544252833066,6828281450195158022,jennyfer.paucay,https://www.tiktok.com/@6828281450195158022/video/7252790544252833066,"A girl navigates through an airport with a carry-on, reflecting on the transformation in her life over the past year. She notes that her current reality, where she is engaged in full-time solo travel, marks a significant departure from her previous lifestyle, underscoring a journey of personal growth and change.





",#travelingnonstop #travellife #travelnomad #digitalnomad #solotravel #travelmotivation #bucketlisttravel,xxtristanxo,original sound,7318233158926011138,"[when you accidently build a travelling reputation and you don't want let this sttus die, so you have no other choice but to continue travl to random parts pf the world]",JN-PG,Personal development with focuses on maintaining ones lifestyle,JN-TE,Transformational experiences as solo traveller,DR-VS,"Visual storytelling in the navigating the spaces of the aeroport, moving from one destination to another",ET-IC,Identity as solo female traveller actively contructed through the narrative,,,Pilgrim,Basic,"Finding purpose in travel, mantaining spiritual or emotional security as solo female traveller."
2023-12-30,7318444921357094186,6795362597594366982,baileygoesoutside,https://www.tiktok.com/@6795362597594366982/video/7318444921357094186,"An American couple claiming they have sold everything, bought a huge motorhome, and went traveling for a year, they state that they do not regret their decision and vlogging highights of their adventures.",#rvlife #rvliving #nomadic #digitalnomad #fulltimetravel #dutchmenpartner #astoria,BaileyGoesOutside,original sound,7252796502089943854,"['“we should sell everything, buy a cheap RV, get remote jobs and travel for a year” ', 'January 2023', 'Orlando, FL', 'stationary living in the RV tor 2 months to get acclimated  before ✌️ing out ', 'March, 2023', 'March, 2023', 'April, 2023', 'May, 2023', 'June, 2023', 'July, 2023', 'August, 2023', 'September , 2023', 'October, 2023', 'November, 2023', 'December, 2023']",LC-PF,The couple's decision to sell everything and embrace RV living exemplifies the pursuit of spatial freedom. Their month-by-month journey documentation demonstrates how they've broken free from traditional living constraints while maintaining a structured approach to their newfound mobility,ET-PM,"Their radical lifestyle transformation from stationary to nomadic living reflects a deeper search for purpose and meaning. The deliberate choice to document their journey from January to December 2023, starting with a two-month acclimation period, suggests a thoughtful approach to finding meaning through lifestyle design",DR-PSC,"The content is carefully crafted for TikTok's format, utilizing a combination of hashtags (#rvlife, #digitalnomad, #fulltimetravel) and chronological storytelling through monthly updates to maximize platform engagement.",TA-DI,"Their strategic use of multiple relevant hashtags (#rvlife #rvliving #nomadic #digitalnomad #fulltimetravel #dutchmenpartner #astoria) demonstrates a clear understanding of TikTok's discoverability mechanisms, helping them reach specific communities interested in nomadic lifestyle",HE-SA,"While not explicitly detailed in the captions, the year-long RV journey implies an active lifestyle component, with the mobile living arrangement facilitating access to various outdoor activities and adventures throughout their travels.",Worker,Safety,"The content primarily oscillates between Worker and Tourist identities, with a strong emphasis on lifestyle transformation. The initial setup phase in Orlando demonstrates a careful approach to maintaining work stability while transitioning to nomadic life."
2023-12-05,7309035250145856786,7202909611166139419,japankatiger,https://www.tiktok.com/@7202909611166139419/video/7309035250145856786,"A photo log by arabic creator Japan Tiger with shifting pictures of bright autumm colours and the pictoresque views of mountains of unknown place, the sound is an arabic psalm Comment memoriser le Coran (Quran). ",#EverydayAdventure #EverydayAdventure #LearningCurve #FriendshipGoals #DigitalNomad #SelfDiscovery #SunsetDreams @Usmån Khan,Usmån Khan,Comment memoriser le Coran,7189722267354090245,,JN-TE,"The video embodies a journey of transformation, where the autumn landscape serves as a backdrop for personal change. The Arabic psalm about Quran memorization and the #SelfDiscovery hashtag suggest a deep internal metamorphosis happening alongside the visual journey.",DR-VS,"The visual composition creates an immersive experience that communicates emotion, journey, and inner state through a shifting autumn imagery.",ET-SD,The combination of spiritual audio (Quran memorization psalm) and autumn mellancholic landscapes suggests the existential quest and reflection embedded in the video.,ET-SG,"The sound of ""Comment memoriser le Coran"" and the meditative quality of the landscape suggest a spiritual dimension beyound a physical movement.",,,Pilgrim,Esteem,Autumn pictures with spiritual and transformative travel.
