Date,Username,Link,Description,Language,Template,Hashtags,authorDigged,authorFollowerCount,authorFollowingCount,authorLikes,videoCount,musicAuthorName,musicTitle ,collectCount,Video Comment Count,Video Play Count,Share Count,videoId,authorId,musicId
2023-08-18,paulylong,https://www.tiktok.com/@6732655693700891654/video/7268642790286970154,"An American guy is listing all the privellegies he has in Bali at extremely low cost than in America: he is eating food, talking about home services, beaches. He is showing his tatooted naked body and his one-year old son.",English,No,#bali #balinese #baliindonesia #indonesia #livingabroad #foreigner #islandlife #digitalnomad #travel #food #eating #eatingshow #rawsalmon #sashimi #rice #foodie #eatingasmr #fatherson #fyp,110700,2200000,252,69400000,2222,aAp Vision,How`s Your Day,4579,736,2400000,1005,7268642790286970154,6732655693700891654,6941249468143306754
2023-08-25,paulylong,https://www.tiktok.com/@6732655693700891654/video/7271104080422931754,"An American guy is talking about the common biases about white men residing in Bali: asian women, broken white-trash people, poverty of local population",English,No,#southeastasia #indonesia #bali #foreigner #expat #digitalnomad #bule #livingabroad #islandlife #entrepreneur #stereotypes #fyp #foryou,24500,2200000,252,69400000,2222,aAp Vision,How`s Your Day,1112,220,574500,135,7271104080422931754,6732655693700891654,6941249468143306754
2023-09-23,paulylong,https://www.tiktok.com/@6732655693700891654/video/7282016541900688682,"For one who want is going really quickly. A guide how to make money online on etsy.com from the same American guy who lives in Bali, he is claiming that the majority of his high income originates from multiple e-commerce solutions.",English,No,#printify #dropshipping #business #businesstips #howtomakemoneyonline #etsy #etsyshop #ecommerce #money #success #entrepreneurship #entrepreneur #digitalnomad #passiveincome #advice #lifeadvice #lifetips #moneytok #fyp #foryou #explorepage #xyzbca,28000,2200000,252,69400000,2222,MATSU,Low-fi hip-hop with mellow atmosphere,8842,466,635600,1209,7282016541900688682,6732655693700891654,6817657571248179201
2023-10-11,paulylong,https://www.tiktok.com/@6732655693700891654/video/7288709827268824362,"An american guy is doing V-log about his gym in Bali, going through all amendities. He compares it to the main stream of american planet fitness and laughs",English,No,#bali #costofliving #livingabroad #digitalnomad #travel #travellife #travellife #traveltips #baligym #bodyfactorybali #island #islandlife #tropical #american #traveltiktok #entrepreneur #luxury #gym #gymtok,17900,2200000,252,69400000,2222,Pauly Long,original sound,668,147,352400,211,7288709827268824362,6732655693700891654,7288709893064805163
2023-10-26,paulylong,https://www.tiktok.com/@6732655693700891654/video/7294074197465140523,"An American guy is showing hos favorite restaurant in Changu, Bali, it is also coworking. Food V-log",English,No,#restaurant #restaurantreview #bali #food #foodie #foodies #foodtok #foodtiktok #foodasmr #eatingfood #foodlover #eatingasmr #eatingshow #eatingsounds #eatingshowasmr #foodreview #travel #traveltiktok #digitalnomad #foodvlog #foodvlogger,18300,2200000,252,69400000,2222,Pauly Long,original sound,867,141,413900,82,7294074197465140523,6732655693700891654,7294074240856591150
2023-10-30,paulylong,https://www.tiktok.com/@6732655693700891654/video/7295683165039955242,"Food V-log  in Bali, the pastries, cakes and coffee",English,No,#food #foodie #foodies #eating #eatingasmr #asmrfood #asmreating #restaurant #foodreview #bali #digitalnomad #travel #eatingshow #foodvlog #foodvlogger #fyp #bali,17400,2200000,252,69400000,2222,Pauly Long,original sound,1618,95,497000,268,7295683165039955242,6732655693700891654,7295683296271436590
2023-11-21,paulylong,https://www.tiktok.com/@6732655693700891654/video/7303930644013387054,"An American guy in reply to a private account showing a huge vila with pool that he rents for just under 5K dollar a month, thta would cost him in Cali 3 times as much. ",English,No,#TravelNomad #WanderlustVibes #ExploreTheWorld #AdventureTime #DigitalNomadLife #TikTokTravel #NomadicAdventures #RoamingFree #TikTokWanderer #Globetrotting #VanLifeVibes #BackpackerLife #TikTokExplorer #NomadCommunity #TravelDiaries #TikTokJourney #WildernessWanderer #LifeOnTheRoad #NomadicCreativity #AdventureAwaits #NomadLife#Wanderlust#DigitalNomad #TravelGoals #VanLife #AdventureLife #ExploreMore #RoamingNomad #LifeOnTheRoad #Globetrotter #TikTokNomad #NomadicSpirit #FreedomLifestyle #Backpacking #WildernessLife #TravelInspiration #RemoteWork #NomadicCommunity #SustainableLiving #TikTokAdventures #NomadLifeAdventures #RoamingFreeVibes #WanderlustNomad #ExploreDreamDiscover #VanLifeMagic #NomadicSoul #OnTheRoadAgain #DigitalNomadLife #TravelingNomad #NomadSpirit #NomadAdventures#WanderingSoul #ExploreTheWorld #VanLifeDreams #RoamWithPurpose #NomadicJourney #TravelTribe #WanderlustVibes #DigitalNomadLife #GlobeTrotter #OnTheRoadLife #AdventureSeeker #NomadSpirit #FreeSpiritLife #DiscoverTheUnknown #OpenRoadLiving #TravelNomadically #NomadAdventureTime #ExploreInspireRepeat #NomadDreaming #VanLifeMagic #JourneyBeyond #NomadSoul #AdventuresAwait #TravelingNomad #NomadLifeDiaries #WanderWithPurpose #VanLifeCommunity #NomadLifeEscape,99900,2200000,252,69400000,2222,8.864,"Cool modern chill out, 10 minutes(1001927)",5576,787,1300000,607,7303930644013387054,6732655693700891654,6954440739359033346
2024-01-14,paulylong,https://www.tiktok.com/@6732655693700891654/video/7323964729934810411,"The American man is recording his visit to the local organic store in Bali, showcasing the healthy foods he's purchasing and adding an aphrodisiac drink intended to enhance his partner's desire.",English,No,#livinginbali #bali #american #travel #traveltiktok #digitalnomad #livingabroad #comewithme #dayinthelife #dailyvlog #organic #wholefoods #islandlife #entrepreneur #personalbrand #fyp #couple #couplegoals #relationships #married #husbandwife #laugh #funny #positivevibes,23900,2200000,252,69400000,2222,Tollan Kim,Morning Routine,991,191,488200,67,7323964729934810411,6732655693700891654,7123645170763728897
2024-01-15,paulylong,https://www.tiktok.com/@6732655693700891654/video/7324350298070338858,"An american guy is talking about his inhouse gym in Bali and all the amendies coming with this rather cheap according to the American standarts accomodation: outdoor pool, sauna etc. He also tells that there are no segregation in the ""tourists"" area, in comparison with pooarer area of California. His advise is just to ""figure out"" how to make extra 3-5K dollar a month online and bounce around. The main claim that the living standard in the tourist area of Bali is was too much better comparing to America. ",English,No,#personalbrand #personalbranding #bali #american #livingabroad #livinginbali #digitalnomad #luxury #luxurylife #lifeisgood #qualityoflife #costofliving #travel #travelvlog #fyp #viral,16500,2200000,252,69400000,2222,NARU,Lofi Hiphop Relax in a dream(861056),601,252,339300,67,7324350298070338858,6732655693700891654,6873596878563313665
2024-01-14,gerardoveramx,https://www.tiktok.com/@6892096283844068353/video/7324107459113553158,"The guy tells into the camera that the news that Mexican government, under the President Andrés Manuel López Obrador, will require visas from American tourists and is deporting American digital nomads living irregularly in Mexico is false. Currently, Mexico does not require visas from citizens of the U.S., Canada, Japan, the Schengen area, the UK, and the Pacific Alliance countries (Chile, Peru, Colombia). Despite rumors, there is no law or bill proposing visa requirements or mass deportations. While Mexico has made visa changes for air transit passengers, these do not affect citizens from countries exempt from visa requirements. The issue of digital nomads has been acknowledged by López Obrador, highlighting challenges like service and housing price increases, and gentrification in cities like Mérida, Oaxaca, and Mexico City. The video suggests a need for greater regulation of digital nomads to prevent negative impacts on local residents without deterring investment. It emphasizes the importance of hospitality towards tourists and foreigners while cautioning against misinformation's harmful effects on tourism and public perceptio",Spanish,Green Screen,#Visas #Turismo #gentrificacion #nomadasdigitales #turistas #AMLO #MORENA #FakeNews #Viral #Fyp #aprendeentiktok #foryoupage #makemefamous #tourism #politica #digitalnomad #parati #Mexico #méxico #gringos #gerardovera #4T #gentrificacionmexico #Oaxaca #Merida #CDMX #LaRoma #LaCondesa,0,1900000,903,50600000,768,beaty,Beat,2914,565,0,311,7324107459113553158,6892096283844068353,7142169219956738050
