videoId,code_1,fieldNote_1,code_2,fieldNote_2,code_3,fieldNote_3,code_4,fieldNote_4,code_5,fieldNote_5
7323768697330421024,JN-PG,"The content describes the vlogger's personal growth through her solo travel experience, including overcoming initial indifference and finding joy in interacting with locals.",ET-PF,"The narrative emphasizes the vlogger's freedom to travel and work from various locations, highlighting her lifestyle flexibility.",JN-TE,"The vlogger's experience on the coconut boat and cooking class illustrates transformative experiences, such as acquiring new knowledge and insights through social interactions.",DR-CA,"The content showcases the vlogger's engagement with local culture, such as the coconut boat trip and cooking class, which are examples of cultural authenticity and local experiences.",ET-SD,"The vlogger encourages her audience to embrace solo travel and engage in spontaneous fun, which aligns with the theme of self-discovery through new experiences."
7247487166845078811,ET-SD,"Self-Discovery - The content reflects the girl's thoughts about her life choices, limitations, and the process of learning new things about her own behavior and desires.",ET-PF,"Personal & Spacial Freedom - The hashtags #solotravel, #travellife, and #digitalnomad suggest a lifestyle that emphasizes freedom of mobility and flexibility in lifestyle choices.",JN-TE,Transformative Experiences - The girl's reflection on life choices and the frustration of having to prioritize suggests insights and connections that are part of transformative experiences.,ET-IC,"Identity Construction - The girl's narrative, even though brief, contributes to her online identity as a traveler and someone reflecting on life's choices.",ET-PM,"Purpose and Meaning - The content implies a search for meaning and purpose in the girl's life, as she navigates through various desires and limitations."
7286911646612737322,JN-PG,"The content describes the vlogger's personal growth through her solo travel experiences and the freedom to indulge in culinary delights, symbolizing her independence and new lifestyle.",ET-PF,"The caption highlights the freedom of mobility and the flexibility to travel easily across Europe, which is a key aspect of the vlogger's lifestyle as a digital nomad.",HE-CE,"The consumption of Belgian waffles is presented as a symbolic and pleasurable experience, which is a form of hedonistic consumption.",CA-TC,"The content promotes Europe, particularly Brussels and Belgian culture, as a tourist destination, emphasizing the ease and joy of traveling there.",DR-VC,The visual storytelling through the video of consuming Belgian waffles and the mention of traveling across Europe for such experiences showcases the visual appeal of the destinations.
7276103514001198341,ET-SD,"The content describes a serene and contemplative mood, reflecting on themes of wanderlust and the allure of distant horizons, which aligns with the concept of self-discovery through travel.",CA-TC,"The visuals and music capture the beauty and tranquility of the maritime and tropical setting, promoting Bali as a tourist destination.",ET-PF,"The combination of visuals and the soundtrack 'I think about leaving sometimes' adds a layer of introspection, reflecting on personal freedom and the desire for mobility.",SY-SL,"The use of symbolic imagery such as a yacht in the sea and a sunset in Bali evokes a sense of tranquility and beauty, serving as symbolic representations of the setting.",DR-VC,"The visual appeal of the content, including coastal landscapes and sunsets, is a key aspect of the narrative, focusing on visual storytelling."
7274781457652927750,CA-TC,"The content promotes Bali as a tourist and expatriate destination, highlighting its diverse living options and cultural immersion.",DR-VC,"The video showcases the visual appeal of the boutique condominium, including its private pool and rice paddy views, which is a form of visual storytelling.",DR-CA,"The content emphasizes the unique cultural and luxury experience offered by the accommodation, which is a representation of local experiences and cultural authenticity.",ET-PF,"The interaction highlights the freedom and flexibility in lifestyle choices, particularly for digital nomads and expatriates, which relates to personal and spatial freedom.",CA-PC,"The video features a detailed tour of the accommodation, which can be seen as promotional content for the property and the lifestyle it offers."
7296462810341575942,ET-PF,"The content describes the use of a portable monitor, which enhances productivity and flexibility, aligning with the theme of personal and spatial freedom.",CA-PC,"The vlog showcases a product (portable monitor) that is suitable for digital nomads and college students, indicating promotional content.",ET-PF,"The emphasis on using the portable monitor anywhere, whether in cafes, co-working spaces, or while traveling, highlights the freedom and mobility associated with digital nomadism.",DR-VC,"The content focuses on the visual appeal and practical use of the portable monitor, which is a form of visual storytelling.",TA-RL,"The hashtags and content description suggest that the video is designed to be relatable to a specific audience, such as digital nomads and college students, enhancing its relatability."
7277308128935480622,CA-PC,"The content promotes travel deals and highlights economical international flights, which is a form of promotional content aimed at attracting viewers to follow the account for more deals.",TA-AC,The use of green screen and combining the creator's avatar with flight prices in the background showcases the visual appeal and editing capabilities of the platform.,TA-DI,"The content is designed to be discoverable by a wider audience, using hashtags like #digitalnomad and #travelhacks to reach beyond immediate followers.",TA-RL,"The content relates to the situation of travelers looking for economical flight deals, making it relatable to a particular audience.",DR-VC,"The content focuses on visual storytelling, using charts and green screen to present flight deals in an engaging and visually appealing manner."
7310115903788616992,JN-PG,"The vlogger reflects on her personal growth by contrasting her current lifestyle in Bali with her past routine in England, highlighting her search for a more meaningful and enjoyable existence.",ET-PF,"The content emphasizes the vlogger's perceived freedom of mobility and flexibility in lifestyle choices, which is a key aspect of being a digital nomad.",ET-SD,The vlogger's narrative involves self-discovery as she questions the fulfillment and quality of life in her past routine and seeks a more meaningful existence.,ET-IC,The vlogger is constructing her online identity through her narrative of leaving the UK and embracing a new lifestyle as a digital nomad.,CA-TC,"The content promotes Bali as a tourist destination, contrasting it favorably with the vlogger's previous life in England."
7320758154642476290,JN-TE,"The content showcases the vlogger's exploration and understanding of Brazil's rich food culture, highlighting their transformative experiences through culinary discoveries.",DR-CA,"The vlogger discusses the variety of South American cuisine and cultural aspects of eating certain dishes, which aligns with the code for cultural authenticity in digital representation.",HE-CE,"The focus on Brazilian food, particularly churrasco and other meat types, falls under the category of culinary experiences, which is a hedonistic theme.",CA-TC,"The content promotes Brazil as a tourist destination by highlighting its culinary diversity and cultural aspects, making it a form of tourism and commerce content.",SY-RB,"The vlogger's engagement with local traditions and cultural artifacts, such as specific days for eating certain dishes, fits the code for rituals and symbolic representation."
7293153201862348037,JN-TE,"The vlogger shares a personal experience and insights about trying japchae cold, which is a new and transformative experience for them.",CA-TC,"The content promotes Korean food and culture, highlighting a traditional Korean dish and its consumption in a local market setting.",ET-SD,The vlogger's experience of eating japchae cold for the first time reflects a moment of self-discovery and learning about their own preferences and behaviors.,ET-PF,"The content showcases the vlogger's freedom to explore different culinary experiences and lifestyles, reflecting their perceived freedom of mobility.",HE-CE,"The focus on preparing and consuming japchae, a traditional Korean dish, highlights a culinary experience and the pleasure derived from food consumption."
